city,latitude,longitude,attacks
Antarctica,-72.010074,-11.510067,10
Antarctica,-71.539767,-11.020433,10
Antarctica,-71.265416,-10.295774,10
Antarctica,-71.324224,-9.101015,10
Antarctica,-71.65733,-8.611381,10
Antarctica,-71.696501,-7.416622,10
Antarctica,-71.324224,-7.377451,10
Antarctica,-70.93231,-6.868232,10
Antarctica,-71.030289,-5.790985,10
Antarctica,-71.402617,-5.536375,10
Antarctica,-71.461373,-4.341667,10
Antarctica,-71.285053,-3.048981,10
Antarctica,-71.167438,-1.795492,10
Antarctica,-71.226246,-0.659489,10
Antarctica,-71.637745,-0.228637,10
Antarctica,-71.304639,0.868195,10
Antarctica,-71.128267,1.886686,10
Antarctica,-70.991118,3.022638,10
Antarctica,-70.853917,4.139055,10
Antarctica,-70.618789,5.157546,10
Antarctica,-70.462055,6.273912,10
Antarctica,-70.246512,7.13572,10
Antarctica,-69.893769,7.742866,10
Antarctica,-70.148534,8.48711,10
Antarctica,-70.011333,9.525135,10
Antarctica,-70.48164,10.249845,10
Antarctica,-70.834332,10.817821,10
Antarctica,-70.638375,11.953824,10
Antarctica,-70.246512,12.404287,10
Antarctica,-69.972162,13.422778,10
Antarctica,-70.030918,14.734998,10
Antarctica,-70.403247,15.126757,10
Antarctica,-70.030918,15.949342,10
Antarctica,-69.913354,17.026589,10
Antarctica,-69.874183,18.201711,10
Antarctica,-69.893769,19.259373,10
Antarctica,-70.011333,20.375739,10
Antarctica,-70.07014,21.452985,10
Antarctica,-70.403247,21.923034,10
Antarctica,-70.697182,22.569403,10
Antarctica,-70.520811,23.666184,10
Antarctica,-70.48164,24.841357,10
Antarctica,-70.48164,25.977309,10
Antarctica,-70.462055,27.093726,10
Antarctica,-70.324854,28.09258,10
Antarctica,-70.20729,29.150242,10
Antarctica,-69.93294,30.031583,10
Antarctica,-69.75662,30.971733,10
Antarctica,-69.658641,31.990172,10
Antarctica,-69.384291,32.754053,10
Antarctica,-68.835642,33.302443,10
Antarctica,-68.502588,33.870419,10
Antarctica,-68.659271,34.908495,10
Antarctica,-69.012014,35.300202,10
Antarctica,-69.247142,36.16201,10
Antarctica,-69.168748,37.200035,10
Antarctica,-69.52144,37.905108,10
Antarctica,-69.776205,38.649404,10
Antarctica,-69.541077,39.667894,10
Antarctica,-69.109941,40.020431,10
Antarctica,-68.933621,40.921358,10
Antarctica,-68.600514,41.959434,10
Antarctica,-68.463313,42.938702,10
Antarctica,-68.267408,44.113876,10
Antarctica,-68.051866,44.897291,10
Antarctica,-67.816738,45.719928,10
Antarctica,-67.601196,46.503343,10
Antarctica,-67.718759,47.44344,10
Antarctica,-67.366068,48.344419,10
Antarctica,-67.091718,48.990736,10
Antarctica,-67.111303,49.930885,10
Antarctica,-66.876175,50.753471,10
Antarctica,-66.523484,50.949325,10
Antarctica,-66.249133,51.791547,10
Antarctica,-66.053176,52.614133,10
Antarctica,-65.89639,53.613038,10
Antarctica,-65.818049,54.53355,10
Antarctica,-65.876805,55.414943,10
Antarctica,-65.974783,56.355041,10
Antarctica,-66.249133,57.158093,10
Antarctica,-66.680218,57.255968,10
Antarctica,-67.013324,58.137361,10
Antarctica,-67.287675,58.744508,10
Antarctica,-67.405239,59.939318,10
Antarctica,-67.679589,60.605221,10
Antarctica,-67.953887,61.427806,10
Antarctica,-68.012695,62.387489,10
Antarctica,-67.816738,63.19049,10
Antarctica,-67.405239,64.052349,10
Antarctica,-67.620729,64.992447,10
Antarctica,-67.738345,65.971715,10
Antarctica,-67.855909,66.911864,10
Antarctica,-67.934302,67.891133,10
Antarctica,-67.934302,68.890038,10
Antarctica,-68.972791,69.712624,10
Antarctica,-69.227556,69.673453,10
Antarctica,-69.678226,69.555941,10
Antarctica,-69.93294,68.596258,10
Antarctica,-70.305268,67.81274,10
Antarctica,-70.697182,67.949889,10
Antarctica,-70.677545,69.066307,10
Antarctica,-71.069459,68.929157,10
Antarctica,-71.441788,68.419989,10
Antarctica,-71.853287,67.949889,10
Antarctica,-72.166808,68.71377,10
Antarctica,-72.264787,69.869307,10
Antarctica,-72.088415,71.024895,10
Antarctica,-71.696501,71.573285,10
Antarctica,-71.324224,71.906288,10
Antarctica,-71.010703,72.454627,10
Antarctica,-70.716768,73.08141,10
Antarctica,-70.364024,73.33602,10
Antarctica,-69.874183,73.864877,10
Antarctica,-69.776205,74.491557,10
Antarctica,-69.737034,75.62756,10
Antarctica,-69.619419,76.626465,10
Antarctica,-69.462684,77.644904,10
Antarctica,-69.07077,78.134539,10
Antarctica,-68.698441,78.428371,10
Antarctica,-68.326216,79.113859,10
Antarctica,-68.071503,80.093127,10
Antarctica,-67.875546,80.93535,10
Antarctica,-67.542388,81.483792,10
Antarctica,-67.366068,82.051767,10
Antarctica,-67.209282,82.776426,10
Antarctica,-67.30726,83.775331,10
Antarctica,-67.209282,84.676206,10
Antarctica,-67.091718,85.655527,10
Antarctica,-67.150474,86.752359,10
Antarctica,-66.876175,87.477017,10
Antarctica,-66.209911,87.986289,10
Antarctica,-66.484261,88.358411,10
Antarctica,-66.954568,88.828408,10
Antarctica,-67.150474,89.67063,10
Antarctica,-67.228867,90.630365,10
Antarctica,-67.111303,91.5901,10
Antarctica,-67.189696,92.608539,10
Antarctica,-67.209282,93.548637,10
Antarctica,-67.111303,94.17542,10
Antarctica,-67.170111,95.017591,10
Antarctica,-67.385653,95.781472,10
Antarctica,-67.248504,96.682399,10
Antarctica,-67.248504,97.759646,10
Antarctica,-67.111303,98.68021,10
Antarctica,-67.248504,99.718182,10
Antarctica,-66.915346,100.384188,10
Antarctica,-66.58224,100.893356,10
Antarctica,-66.30789,101.578896,10
Antarctica,-65.563284,102.832411,10
Antarctica,-65.700485,103.478676,10
Antarctica,-65.974783,104.242557,10
Antarctica,-66.327527,104.90846,10
Antarctica,-66.934931,106.181561,10
Antarctica,-66.954568,107.160881,10
Antarctica,-66.954568,108.081393,10
Antarctica,-66.837004,109.15864,10
Antarctica,-66.699804,110.235835,10
Antarctica,-66.425505,111.058472,10
Antarctica,-66.13157,111.74396,10
Antarctica,-66.092347,112.860378,10
Antarctica,-65.876805,113.604673,10
Antarctica,-66.072762,114.388088,10
Antarctica,-66.386283,114.897308,10
Antarctica,-66.699804,115.602381,10
Antarctica,-66.660633,116.699161,10
Antarctica,-66.915346,117.384701,10
Antarctica,-67.170111,118.57946,10
Antarctica,-67.268089,119.832924,10
Antarctica,-67.189696,120.871,10
Antarctica,-66.876175,121.654415,10
Antarctica,-66.562654,122.320369,10
Antarctica,-66.484261,123.221296,10
Antarctica,-66.621462,124.122274,10
Antarctica,-66.719389,125.160247,10
Antarctica,-66.562654,126.100396,10
Antarctica,-66.562654,127.001427,10
Antarctica,-66.660633,127.882768,10
Antarctica,-66.758611,128.80328,10
Antarctica,-66.58224,129.704259,10
Antarctica,-66.425505,130.781454,10
Antarctica,-66.386283,131.799945,10
Antarctica,-66.386283,132.935896,10
Antarctica,-66.288304,133.85646,10
Antarctica,-66.209963,134.757387,10
Antarctica,-65.72007,135.031582,10
Antarctica,-65.308571,135.070753,10
Antarctica,-65.582869,135.697485,10
